"","playlist_id","playlist_name","playlist_img","playlist_owner_name","playlist_owner_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track.id","analysis_url","time_signature","added_at","is_local","primary_color","added_by.href","added_by.id","added_by.type","added_by.uri","added_by.external_urls.spotify","track.disc_number","track.duration_ms","track.episode","track.explicit","track.href","track.is_local","track.name","track.popularity","track.preview_url","track.track","track.track_number","track.type","track.uri","track.album.album_type","track.album.href","track.album.id","track.album.name","track.album.release_date","track.album.release_date_precision","track.album.total_tracks","track.album.type","track.album.uri","track.album.external_urls.spotify","track.external_ids.isrc","track.external_urls.spotify","video_thumbnail.url","key_name","mode_name","key_mode"
"1756","37i9dQZF1DWXRqgorJj26U","Rock Classics","https://i.scdn.co/image/ab67706f00000003d855fad81c27d9e383a65dcb","Spotify","spotify",0.587,0.872,7,-5.066,1,0.0484,0.018,0,0.622,0.735,159.925,"1OxcIUqVmVYxT6427tbhDW","https://api.spotify.com/v1/audio-analysis/1OxcIUqVmVYxT6427tbhDW",4,"2024-01-24T05:00:00Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",1,221332,FALSE,FALSE,"https://api.spotify.com/v1/tracks/1OxcIUqVmVYxT6427tbhDW",FALSE,"Fly Away",75,NA,TRUE,8,"track","spotify:track:1OxcIUqVmVYxT6427tbhDW","album","https://api.spotify.com/v1/albums/6MCNMOCRsh6nxs7PNzc0zN","6MCNMOCRsh6nxs7PNzc0zN","5","1998-05-12","day",15,"album","spotify:album:6MCNMOCRsh6nxs7PNzc0zN","https://open.spotify.com/album/6MCNMOCRsh6nxs7PNzc0zN","USVI29800169","https://open.spotify.com/track/1OxcIUqVmVYxT6427tbhDW",NA,"G","major","G major"
"1757","37i9dQZF1DWXRqgorJj26U","Rock Classics","https://i.scdn.co/image/ab67706f00000003d855fad81c27d9e383a65dcb","Spotify","spotify",0.577,0.808,1,-7.04,0,0.039,0.0338,1.33e-05,0.221,0.869,151.008,"1oYYd2gnWZYrt89EBXdFiO","https://api.spotify.com/v1/audio-analysis/1oYYd2gnWZYrt89EBXdFiO",4,"2024-01-24T05:00:00Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",1,290280,FALSE,FALSE,"https://api.spotify.com/v1/tracks/1oYYd2gnWZYrt89EBXdFiO",FALSE,"Message In A Bottle",77,NA,TRUE,1,"track","spotify:track:1oYYd2gnWZYrt89EBXdFiO","album","https://api.spotify.com/v1/albums/2EpuND32cO7CX0gXZl2NB6","2EpuND32cO7CX0gXZl2NB6","Reggatta De Blanc (Remastered 2003)","1979-10-02","day",11,"album","spotify:album:2EpuND32cO7CX0gXZl2NB6","https://open.spotify.com/album/2EpuND32cO7CX0gXZl2NB6","GBAAM0201170","https://open.spotify.com/track/1oYYd2gnWZYrt89EBXdFiO",NA,"C#","minor","C# minor"
"1758","37i9dQZF1DWXRqgorJj26U","Rock Classics","https://i.scdn.co/image/ab67706f00000003d855fad81c27d9e383a65dcb","Spotify","spotify",0.539,0.828,4,-9.108,0,0.035,0.00067,0.421,0.154,0.562,105.25,"54bm2e3tk8cliUz3VSdCPZ","https://api.spotify.com/v1/audio-analysis/54bm2e3tk8cliUz3VSdCPZ",4,"2024-01-24T05:00:00Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",1,515386,FALSE,FALSE,"https://api.spotify.com/v1/tracks/54bm2e3tk8cliUz3VSdCPZ",FALSE,"Master of Puppets (Remastered)",73,NA,TRUE,2,"track","spotify:track:54bm2e3tk8cliUz3VSdCPZ","album","https://api.spotify.com/v1/albums/7CGhx630DIjdJqaBDVKc5j","7CGhx630DIjdJqaBDVKc5j","Master of Puppets (Remastered Deluxe Box Set)","1986-03-03","day",137,"album","spotify:album:7CGhx630DIjdJqaBDVKc5j","https://open.spotify.com/album/7CGhx630DIjdJqaBDVKc5j","QMKHM1600219","https://open.spotify.com/track/54bm2e3tk8cliUz3VSdCPZ",NA,"E","minor","E minor"
"1759","37i9dQZF1DWXRqgorJj26U","Rock Classics","https://i.scdn.co/image/ab67706f00000003d855fad81c27d9e383a65dcb","Spotify","spotify",0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466,"5QTxFnGygVM4jFQiBovmRo","https://api.spotify.com/v1/audio-analysis/5QTxFnGygVM4jFQiBovmRo",4,"2024-01-24T05:00:00Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",1,308120,FALSE,FALSE,"https://api.spotify.com/v1/tracks/5QTxFnGygVM4jFQiBovmRo",FALSE,"(Don't Fear) The Reaper",77,"https://p.scdn.co/mp3-preview/ad97ce828e504498e211b6525c5ccee86642786b?cid=8e358bf3471a4232babc75cfae3ffffc",TRUE,3,"track","spotify:track:5QTxFnGygVM4jFQiBovmRo","album","https://api.spotify.com/v1/albums/6C9WzlQANeoD0GW5B41YJt","6C9WzlQANeoD0GW5B41YJt","Agents Of Fortune","1976","year",10,"album","spotify:album:6C9WzlQANeoD0GW5B41YJt","https://open.spotify.com/album/6C9WzlQANeoD0GW5B41YJt","USSM17600477","https://open.spotify.com/track/5QTxFnGygVM4jFQiBovmRo",NA,"A","minor","A minor"
"1760","37i9dQZF1DWXRqgorJj26U","Rock Classics","https://i.scdn.co/image/ab67706f00000003d855fad81c27d9e383a65dcb","Spotify","spotify",0.379,0.76,9,-10.961,1,0.0378,0.00298,0.0296,0.104,0.491,99.436,"73TxYZd0lBCVRrHawrAglA","https://api.spotify.com/v1/audio-analysis/73TxYZd0lBCVRrHawrAglA",4,"2024-01-24T05:00:00Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",1,274088,FALSE,FALSE,"https://api.spotify.com/v1/tracks/73TxYZd0lBCVRrHawrAglA",FALSE,"Sweet Emotion",76,NA,TRUE,6,"track","spotify:track:73TxYZd0lBCVRrHawrAglA","album","https://api.spotify.com/v1/albums/6As5aOEQjfxLIChIB3fQRD","6As5aOEQjfxLIChIB3fQRD","Toys In The Attic","1975-04-08","day",9,"album","spotify:album:6As5aOEQjfxLIChIB3fQRD","https://open.spotify.com/album/6As5aOEQjfxLIChIB3fQRD","USSM19906482","https://open.spotify.com/track/73TxYZd0lBCVRrHawrAglA",NA,"A","major","A major"
"1761","37i9dQZF1DWXRqgorJj26U","Rock Classics","https://i.scdn.co/image/ab67706f00000003d855fad81c27d9e383a65dcb","Spotify","spotify",0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,"3d9DChrdc6BOeFsbrZ3Is0","https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0",4,"2024-01-24T05:00:00Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",1,264306,FALSE,FALSE,"https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0",FALSE,"Under the Bridge",84,"https://p.scdn.co/mp3-preview/46b0229c06712c5b5e143724c0617e51a9b6e432?cid=8e358bf3471a4232babc75cfae3ffffc",TRUE,11,"track","spotify:track:3d9DChrdc6BOeFsbrZ3Is0","album","https://api.spotify.com/v1/albums/30Perjew8HyGkdSmqguYyg","30Perjew8HyGkdSmqguYyg","Blood Sugar Sex Magik (Deluxe Edition)","1991-09-24","day",19,"album","spotify:album:30Perjew8HyGkdSmqguYyg","https://open.spotify.com/album/30Perjew8HyGkdSmqguYyg","USWB19901576","https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0",NA,"E","major","E major"
"1762","37i9dQZF1DWXRqgorJj26U","Rock Classics","https://i.scdn.co/image/ab67706f00000003d855fad81c27d9e383a65dcb","Spotify","spotify",0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,"4gvea7UlDkAvsJBPZAd4oB","https://api.spotify.com/v1/audio-analysis/4gvea7UlDkAvsJBPZAd4oB",4,"2024-01-24T05:00:00Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",1,288733,FALSE,FALSE,"https://api.spotify.com/v1/tracks/4gvea7UlDkAvsJBPZAd4oB",FALSE,"The Boys Of Summer",78,NA,TRUE,1,"track","spotify:track:4gvea7UlDkAvsJBPZAd4oB","album","https://api.spotify.com/v1/albums/2x1s5aVQ01ylPs5nUdeA2i","2x1s5aVQ01ylPs5nUdeA2i","Building The Perfect Beast","1984-11-19","day",11,"album","spotify:album:2x1s5aVQ01ylPs5nUdeA2i","https://open.spotify.com/album/2x1s5aVQ01ylPs5nUdeA2i","USGF18502601","https://open.spotify.com/track/4gvea7UlDkAvsJBPZAd4oB",NA,"F#","major","F# major"
"1763","37i9dQZF1DWXRqgorJj26U","Rock Classics","https://i.scdn.co/image/ab67706f00000003d855fad81c27d9e383a65dcb","Spotify","spotify",0.729,0.989,9,-4.613,0,0.049,0.0102,4.45e-05,0.443,0.84,126.47,"51H2y6YrNNXcy3dfc3qSbA","https://api.spotify.com/v1/audio-analysis/51H2y6YrNNXcy3dfc3qSbA",4,"2024-01-24T05:00:00Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",1,352906,FALSE,FALSE,"https://api.spotify.com/v1/tracks/51H2y6YrNNXcy3dfc3qSbA",FALSE,"When Doves Cry",71,"https://p.scdn.co/mp3-preview/72aaf5506a00e8fe6ae5230aeaa0a01303a89fec?cid=8e358bf3471a4232babc75cfae3ffffc",TRUE,6,"track","spotify:track:51H2y6YrNNXcy3dfc3qSbA","album","https://api.spotify.com/v1/albums/7nXJ5k4XgRj5OLg9m8V3zc","7nXJ5k4XgRj5OLg9m8V3zc","Purple Rain","1984-06-25","day",9,"album","spotify:album:7nXJ5k4XgRj5OLg9m8V3zc","https://open.spotify.com/album/7nXJ5k4XgRj5OLg9m8V3zc","USWB10001877","https://open.spotify.com/track/51H2y6YrNNXcy3dfc3qSbA",NA,"A","minor","A minor"
"1764","37i9dQZF1DWXRqgorJj26U","Rock Classics","https://i.scdn.co/image/ab67706f00000003d855fad81c27d9e383a65dcb","Spotify","spotify",0.508,0.774,2,-5.973,1,0.0321,0.0586,4.87e-06,0.063,0.942,178.946,"20OFwXhEXf12DzwXmaV7fj","https://api.spotify.com/v1/audio-analysis/20OFwXhEXf12DzwXmaV7fj",4,"2024-01-24T05:00:00Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",1,141600,FALSE,FALSE,"https://api.spotify.com/v1/tracks/20OFwXhEXf12DzwXmaV7fj",FALSE,"Bad Moon Rising",84,NA,TRUE,5,"track","spotify:track:20OFwXhEXf12DzwXmaV7fj","album","https://api.spotify.com/v1/albums/0i9mOB6mPGqwVvtJEXiwPG","0i9mOB6mPGqwVvtJEXiwPG","Green River (Expanded Edition)","1969-08-03","day",14,"album","spotify:album:0i9mOB6mPGqwVvtJEXiwPG","https://open.spotify.com/album/0i9mOB6mPGqwVvtJEXiwPG","USC4R0817604","https://open.spotify.com/track/20OFwXhEXf12DzwXmaV7fj",NA,"D","major","D major"
"1765","37i9dQZF1DWXRqgorJj26U","Rock Classics","https://i.scdn.co/image/ab67706f00000003d855fad81c27d9e383a65dcb","Spotify","spotify",0.35,0.828,6,-5.373,1,0.041,0.000217,0.000161,0.0774,0.147,105.435,"2EoOZnxNgtmZaD8uUmz2nD","https://api.spotify.com/v1/audio-analysis/2EoOZnxNgtmZaD8uUmz2nD",4,"2024-01-24T05:00:00Z",FALSE,NA,"https://api.spotify.com/v1/users/","","user","spotify:user:","https://open.spotify.com/user/",1,318586,FALSE,FALSE,"https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD",FALSE,"Black Hole Sun",80,NA,TRUE,7,"track","spotify:track:2EoOZnxNgtmZaD8uUmz2nD","album","https://api.spotify.com/v1/albums/29sTacnS0qA9xri6YS8xLA","29sTacnS0qA9xri6YS8xLA","Superunknown (Deluxe Edition)","1994-03-09","day",32,"album","spotify:album:29sTacnS0qA9xri6YS8xLA","https://open.spotify.com/album/29sTacnS0qA9xri6YS8xLA","USAM19400007","https://open.spotify.com/track/2EoOZnxNgtmZaD8uUmz2nD",NA,"F#","major","F# major"
